"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
1354;"liaison";"lee-ih-zon";"a close bond or connection; a person who establishes and maintains communication for mutual understanding and cooperation; a binding or thickening agent used in cooking; a secret sexual relationship";"n"
1355;"libertine";"lib-er-teen";"a freethinker esp. in religious matters; a person who is unrestrained by convention or morality";"n"
1356;"libration";"li-bray-shun";"an oscillation in the apparent aspect of a secondary body (such as a planet or a satellite) as seen from the primary object around which it revolves";"n"
1357;"licentious";"li-sent-shus";"lacking legal or moral restraints esp. disregarding sexual restraints; marked by disregard for strict rules of correctness";"adj"
1358;"linchpin";"linch-pin";"one that serves to hold together parts or elements that exist or part_of_speech as a unit";"n"
1359;"listless";"list-liss";"characterized by lack of interest, energy, or spirit";"adj"
1360;"litany";"lih-tuh-nee";"a prayer; a resonant or repetitive chant; a usually lengthy recitation or enumeration; a sizable series or set";"n"
1361;"lithography";"lih-thaw-grih-fee";"the process of printing from a plane surface on which the image to be printed is ink-receptive and the blank area ink-repellent";"n"
1362;"liturgy";"lih-tur-jee";"a rite or body of rites prescribed for public worship; a customary repertoire of ideas, phrases, or observances";"n"
1363;"loath";"loath";"unwilling to do something contrary to one's ways of thinking, reluctant";"adj"
1364;"lode";"lode";"an ore deposit; an abundant store";"n"
1365;"loden";"lo-din";"a thick woolen cloth used for outer clothing; a variable color averaging a dull grayish green";"n"
1366;"lodestar";"load-star";"one that serves as an inspiration, model, or guide";"n"
1367;"logomachy";"low-GAH-mih-kee";"a dispute over or about words; a controversy marked by verbiage";"n"
1368;"lollygag";"lolly-gag";"to spend time idly, aimlessly, or foolishly; dawdle";"v"
1369;"loquacious";"lo-kway-shus";"full of excessive walk, wordy; given to fluent or excessive talk";"adj"
1370;"lothario";"lo-thair-e-o";"a man whose chief interest is seducing women";"n"
1371;"louver";"loo-ver";"an opening provided with one or more slanted fixed or movable fins to allow flow of air but to exclude rain or sun or to provide privacy; a roof lantern or turret often with slatted apertures for escape of smoke or admission of light in a medieval building";"n"
1372;"lowbrow";"low-brow";"of, relating to, or suitable for a person with little taste or intellectual interest";"adj"
1373;"lozenge";"LAAH-zenge";"a diamond shape; a small usually sweetened and flavored medicated material that is designed to be held in the mouth for slow dissolution";"n"
1374;"lucid";"loo-sid";"suffused with light, luminous; translucent; having full use of one's faculties, sane; clear to the understanding, intelligible";"adj"
1375;"lucubration";"loo-kyih-bray-shin";"laborious or intensive study; the product of such study";"n"
1376;"luddite";"luh-dite";"one who is opposed to technological change";"n"
1377;"ludic";"loo-dik";"of, relating to, or characterized by play, playful";"adj"
1378;"lugubrious";"luh-goo-bree-is";"mournful esp. exaggeratedly or affectedly mournful; dismal";"adj"
1379;"lunette";"loo-net";"the figure or shape of a crescent moon";"n"
1380;"lurid";"lur-id";"causing horror or revulsion, gruesome; wan and ghastly pale in appearance; shining with the red glow of fire seen through smoke or cloud";"adj"
1381;"lustrate";"lus-trait";"to purify ceremonially";"v"
1382;"lustrous";"lus-truss";"reflecting light evenly and efficiently without glitter or sparkle; radiant in character or reputation, illustrious";"adj"
1383;"macadam";"muh-KAH-dum";"macadamized roadway or pavement especially with a bituminous binder";"n"
1384;"macadamize";"muh-kah-duh-mize";"to construct or finish (a road) by compacting into a solid mass a layer of small broken stone on a convex well-drained roadbed and using a binder (such as cement or asphalt) for the mass";"v"
1385;"machiavellian";"mah-kee-uh-vell-ian";"the view that politics is amoral and that any means however unscrupulous can justifiably be used in achieving political power; marked by cunning, duplicity, or bad faith";"adj"
1386;"machination";"mah-kin-ay-shin";"a scheming or crafty action or artful design intended to accomplish some usually evil end";"n"
1387;"magistrate";"mah-jis-trait";"an official entrusted with administration of the laws";"n"
1388;"magnate";"mag-nate";"a person of rank, power, influence, or distinction often in a specified area";"n"
1389;"maieutic";"may-yoo-tik";"relating to or resembling the Socratic method of eliciting new ideas from another (expanding an argument to further premises that refute it)";"adj"
1390;"mainstay";"main-stay";"a chief support; a ship's stay extending from the maintop forward usually to the foot of the foremast";"n"
1391;"maladroit";"mal-uh-droit";"lacking skill, cleverness, or resourcefulness in handling situations, inept";"adj"
1392;"malinger";"muh-lin-ger";"to pretend, feign or exaggerate incapacity or illness as to avoid duty or work";"v"
1393;"mandala";"mun-duh-la";"a geometric figure representing the universe (in Hindu and Buddhist symbolism)";"n"
1394;"manifesto";"man-ih-fes-tow";"a written statement declaring publicly the intentions, motives, or views of its issuer";"n"
1395;"manifold";"man-ih-fold";"marked by diversity or variety, many; of many and various kinds; comprehending or uniting various features; rightfully so-called for many reasons; consisting of or operating many of one kind combined";"adj"
1396;"mansuetude";"man-swih-tood";"the quality or state of being gentle, meekness, tameness";"n"
1397;"mantic";"man-tik";"of or relating to the faculty of divination, prophetic";"adj"
1398;"manticore";"man-tih-core";"head of man, body of lion, tail of dragon or scorpion";"n"
1399;"manumit";"man-yuh-mit";"to release from slavery";"v"
1400;"marginalia";"mar-jih-nail-e-uh";"marginal notes or embellishments; nonessential items";"n"
1401;"marquee";"mar-keee";"a large tent set up for an outdoor party, reception, or exhibition; a sign usually over the entrance of a theater or arena that displays the names of featured attractions and principal performers";"n"
1402;"marquee";"mar-kee";"having or associated with the name recognition and attraction of one whose name appears on a marquee";"adj"
1403;"massif";"mah-seef";"a principal mountain mass; a block of the earth's crust bounded by faults or flexures and displaced as a unit without internal change";"n"
1404;"mastic";"mah-stik";"an aromatic resinous exudate from mastic trees used chiefly in varnishes; any of various pasty materials used as protective coatings or cements";"n"
1405;"masticate";"mah-stih-kate";"to grind or crush food with or as if with the teeth, chew; to soften or reduce to pulp by crushing or kneading";"v"
1406;"maudlin";"mawed-lin";"drunk enough to be emotionally silly; weakly and effusively sentimental";"adj"
1407;"maunder";"mawn-dur";"to wander slowly and idly; to speak indistinctly or disconnectedly; grumble";"v"
1408;"mawkish";"maw-kish";"lacking flavor or having an unpleasant taste; exaggeratedly or childishly emotional";"adj"
1409;"maxim";"mak-sim";"a general truth, fundamental principle, or rule of conduct; a proverbial saying";"n"
1410;"mazel tov";"mauz-el-tov";"used to express congratulations in Hebrew";"int"
1411;"mea culpa";"may-uh-kool-puh";"a formal acknowledgment of personal fault or error";"n"
1412;"meander";"me-an-der";"to follow a winding or intricate course; to wander aimlessly or casually without urgent destination, ramble";"v"
1413;"meconium";"mih-ko-nee-um";"a dark greenish mass that accumulates in the bowel during fetal life and is discharged shortly after birth";"n"
1414;"meet";"meet";"precisely adapted to a particular situation, need, or circumstance; very proper";"adj"
1415;"meld";"melled";"to blend or mix together, merge";"v"
1416;"mellify";"meh-lih-fy";"to embalm in honey";"v"
1417;"melodramatic";"meh-luh-druh-mah-tik";"appealing to the emotions, sensational";"adj"
1418;"menagerie";"mih-nah-juh-ree";"a place where animals are kept and trained especially for exhibition; a varied mixture";"n"
1419;"menial";"mee-nee-ul";"of or relevant to servants, lowly, servile; lacking interest or dignity";"adj"
1420;"meperidine";"muh-pear-ih-deen";"a synthetic narcotic drug used as an analgesic, sedative, and antispasmodic";"n"
1421;"mercurial";"mur-kyur-e-ul";"characterized by rapid and unpredictable changeableness of mood;";"adj"
1422;"meritorious";"mare-ih-tor-e-us";"deserving of honor or esteem";"adj"
1423;"metallurgy";"metal-ur-jee";"the science and technology of metals";"n"
1424;"metonymy";"muh-tah-num-ee";"a figure of speech consisting of the use of the name of one thing for that of another of which it is an attribute or with which it is associated (such as ""crown"" in ""lands belonging to the crown"" or ""ears"" in ""lend me your ears"")";"n"
1425;"mettlesome";"meh-dul-sum";"full of vigor and stamina, spirited";"adj"
1426;"mewl";"myool";"to cry weakly, whimper";"v"
1427;"microcosm";"my-kro-kaw-sum";"a little world; a community or other unity that is an epitome of a larger unity";"n"
1428;"mien";"mean";"air or bearing especially as expressive of attitude or personality, demeanor; appearance, aspect";"n"
1429;"milieu";"meel-yoo";"the physical or social setting in which something occurs or develops, environment";"n"
1430;"millefleur";"meel-flur";"having an allover pattern of small flowers and plants";"adj"
1431;"mimetic";"muh-meh-tik";"imitative; relating to, characterized by, or exhibiting mimicry";"adj"
1432;"mirandize";"muh-ran-dies";"to recite the Miranda warnings to a person under arrest";"v"
1433;"misanthrope";"mis-in-thrope";"a person who hates or distrusts humankind";"n"
1434;"miscellany";"mih-sil-ay-nee";"a mixture of various things; a collection of writings on various subjects";"n"
1435;"miscible";"miss-ih-bul";"capable of being mixed; capable of mixing in any ratio without separation of two phases";"adj"
1436;"misconstrue";"mis-kun-stroo";"to interpret something wrongly";"v"
1437;"mise-en-scène";"mee-zon-sen";"the arrangement of actors and scenery on a stage for a theatrical production, stage setting; the physical setting of an action, environment, context";"n"
1438;"mnemonic";"nih-mah-nik";"assisting or intended to assist memory; of or relating to a technique of improving the memory; of or relating to memory";"adj"
1439;"modus operandi";"mow-dus-aw-puh-ran-dee";"a method of procedure esp. a distinct pattern or method of operation that indicates or suggests the work of a single criminal in more than one crime";"n"
1440;"moire";"moy-ur";"an irregular wavy finish on a fabric; a fabric having a wavy watered appearance";"n"
1441;"mollify";"maw-lih-fy";"to soothe in temper or disposition; to reduce the rigidity of, soften; to reduce in intensity, assuage";"v"
1442;"mollycoddle";"maw-lee-caw-dul";"to treat with an excessive or absurd degree of indulgence or attention";"v"
1443;"monolith";"maw-nuh-lith";"a massive structure; an organized whole that acts as a single unified powerful or influential force";"n"
1444;"moor";"moor";"a boggy area";"n"
1445;"mordant";"mor-dint";"biting and caustic in thought, manner, or style, incisive; burning, pungent";"adj"
1446;"morpheme";"mor-feem";"a word or a part of a word that has a meaning and that contains no smaller part that has a meaning";"n"
1447;"mote";"moat";"a small particle, speck";"n"
1448;"motif";"mo-teef";"a usually recurring thematic element; a single or repeated design or color";"n"
1449;"mucilage";"myoo-suh-lij";"a gelatinous substance of various plants; an aqueous usualy viscid solution used especially as an adhesive";"n"
1450;"mucilaginous";"myoo-suh-laj-in-us";"sticky, viscid; of, relating to, full of, or secreting mucilage";"adj"
1451;"muliebrity";"myoo-lee-eb-rih-tee";"the quality of being a woman, femininity";"n"
1452;"mufti";"muf-tee";"ordinary dress as distinguished from that denoting an occupation or station; civilian clothes when worn by a person in the armed forces";"n"
1453;"mullion";"mul-yen";"a vertical bar between the panes of glass in a window; a slender vertical member that forms a division between units of a window, door, or screen or is used decoratively";"n"
